Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot _Cases/1_Mpop,Deaths/1_Mpop,Total_Tests,Tests/1_Mpop,Population,Continent,1_Caseevery_Xppl,1_Deathevery_Xppl,1_Testevery_Xppl,New_Cases/1_Mpop,New_Deaths/1_Mpop,Active_Cases/1_Mpop
Montenegro,233453.0,0.0,2706.0,0.0,230157.0,0.0,590.0,6.0,371619.0,4308.0,2427484.0,3864153.0,628206.0,Europe,3.0,232.0,0.0,0.0,0.0,939.0
Mozambique,225268.0,0.0,2200.0,0.0,223021.0,0.0,47.0,13.0,6870.0,67.0,1299144.0,39618.0,32791856.0,Africa,146.0,14905.0,25.0,0.0,0.0,1.0
Luxembourg,220034.0,0.0,1042.0,0.0,200508.0,0.0,18484.0,3.0,341744.0,1618.0,4174339.0,6483343.0,643856.0,Europe,3.0,618.0,0.0,0.0,0.0,28708.0
Kyrgyzstan,200968.0,0.0,2991.0,0.0,196268.0,20.0,1709.0,131.0,29936.0,446.0,1907195.0,284098.0,6713158.0,Asia,33.0,2244.0,4.0,0.0,0.0,255.0
Laos,188985.0,2115.0,684.0,2.0,7660.0,0.0,180641.0,0.0,25330.0,92.0,1027633.0,137736.0,7460915.0,Asia,39.0,10908.0,7.0,283.0,0.3,24212.0
Iceland,182633.0,0.0,102.0,0.0,75685.0,0.0,106846.0,1.0,529169.0,296.0,1890042.0,5476287.0,345132.0,Europe,2.0,3384.0,0.0,0.0,0.0,309580.0
Afghanistan,177974.0,25.0,7671.0,0.0,161033.0,0.0,9270.0,1124.0,4398.0,190.0,926472.0,22895.0,40466988.0,Asia,227.0,5275.0,44.0,0.6,0.0,229.0
Maldives,176993.0,0.0,298.0,0.0,163687.0,0.0,13008.0,25.0,317615.0,535.0,2213831.0,3972736.0,557256.0,Asia,3.0,1870.0,0.0,0.0,0.0,23343.0
Uganda,163951.0,0.0,3596.0,0.0,100192.0,0.0,60163.0,3.0,3396.0,74.0,2570233.0,53241.0,48275153.0,Africa,294.0,13425.0,19.0,0.0,0.0,1246.0
El Salvador,161570.0,0.0,4121.0,0.0,144494.0,0.0,12955.0,40.0,24691.0,630.0,1875785.0,286656.0,6543678.0,North America,41.0,1588.0,3.0,0.0,0.0,1980.0
Ghana,161014.0,0.0,1445.0,0.0,159531.0,0.0,38.0,1.0,4999.0,45.0,2422885.0,75218.0,32211363.0,Africa,200.0,22292.0,13.0,0.0,0.0,1.0
Namibia,157776.0,0.0,4020.0,0.0,153069.0,0.0,687.0,3.0,60181.0,1533.0,987182.0,376546.0,2621680.0,Africa,17.0,652.0,3.0,0.0,0.0,262.0
Martinique,147519.0,0.0,918.0,0.0,104.0,0.0,146497.0,8.0,393642.0,2450.0,828928.0,2211926.0,374754.0,North America,3.0,408.0,0.0,0.0,0.0,390915.0
Trinidad and Tobago,139114.0,0.0,3766.0,0.0,128540.0,0.0,6808.0,18.0,98841.0,2676.0,676774.0,480853.0,1407446.0,North America,10.0,374.0,2.0,0.0,0.0,4837.0
Brunei,137239.0,418.0,214.0,0.0,134109.0,615.0,2916.0,3.0,308517.0,481.0,717784.0,1613596.0,444835.0,Asia,3.0,2079.0,1.0,940.0,0.0,6555.0
Cambodia,135834.0,22.0,3055.0,0.0,132449.0,121.0,330.0,0.0,7932.0,178.0,2933389.0,171291.0,17125206.0,Asia,126.0,5606.0,6.0,1.0,0.0,19.0
Guadeloupe,130705.0,0.0,843.0,0.0,2250.0,0.0,127612.0,19.0,326563.0,2106.0,938039.0,2343668.0,400244.0,North America,3.0,475.0,0.0,0.0,0.0,318836.0
Rwanda,129735.0,0.0,1458.0,0.0,45522.0,0.0,82755.0,1.0,9599.0,108.0,5145742.0,380725.0,13515640.0,Africa,104.0,9270.0,3.0,0.0,0.0,6123.0
Jamaica,128869.0,0.0,2897.0,0.0,81425.0,0.0,44547.0,0.0,43189.0,971.0,936937.0,314001.0,2983864.0,North America,23.0,1030.0,3.0,0.0,0.0,14929.0
Cameroon,119544.0,0.0,1927.0,0.0,117455.0,0.0,162.0,13.0,4315.0,70.0,1751774.0,63229.0,27705427.0,Africa,232.0,14377.0,16.0,0.0,0.0,6.0
Angola,99194.0,0.0,1900.0,0.0,97149.0,0.0,145.0,0.0,2862.0,55.0,1499795.0,43272.0,34659825.0,Africa,349.0,18242.0,23.0,0.0,0.0,4.0
DRC,86748.0,0.0,1337.0,0.0,50930.0,0.0,34481.0,0.0,920.0,14.0,846704.0,8975.0,94338290.0,Africa,1087.0,70560.0,111.0,0.0,0.0,366.0
Senegal,85931.0,7.0,1965.0,0.0,83934.0,9.0,32.0,0.0,4905.0,112.0,1051050.0,59998.0,17518170.0,Africa,204.0,8915.0,17.0,0.4,0.0,2.0
Malawi,85667.0,0.0,2626.0,0.0,80810.0,0.0,2231.0,67.0,4284.0,131.0,563689.0,28188.0,19997364.0,Africa,233.0,7615.0,35.0,0.0,0.0,112.0
Malta,83667.0,822.0,650.0,1.0,74592.0,365.0,8425.0,4.0,188606.0,1465.0,1824560.0,4113001.0,443608.0,Europe,5.0,682.0,0.0,1853.0,2.0,18992.0
Ivory Coast,81780.0,0.0,796.0,0.0,80945.0,0.0,39.0,0.0,2971.0,29.0,1477408.0,53676.0,27524533.0,Africa,337.0,34579.0,19.0,0.0,0.0,1.0
Suriname,79241.0,5.0,1325.0,0.0,49392.0,1.0,28524.0,0.0,132985.0,2224.0,235564.0,395333.0,595862.0,South America,8.0,450.0,3.0,8.0,0.0,47870.0
French Guiana,79075.0,0.0,394.0,0.0,11254.0,0.0,67427.0,4.0,253229.0,1262.0,609252.0,1951061.0,312267.0,South America,4.0,793.0,1.0,0.0,0.0,215927.0
French Polynesia,72473.0,0.0,648.0,0.0,0.0,0.0,0.0,7.0,255402.0,2284.0,0.0,0.0,283760.0,Australia/Oceania,4.0,438.0,0.0,0.0,0.0,135061.0
Eswatini,69897.0,0.0,1395.0,0.0,68379.0,0.0,123.0,11.0,59172.0,1181.0,1005006.0,850794.0,1181257.0,Africa,17.0,847.0,1.0,0.0,0.0,104.0
Channel Islands,69624.0,0.0,156.0,0.0,67712.0,0.0,1756.0,0.0,394075.0,883.0,1247374.0,7060195.0,176677.0,Europe,3.0,1133.0,0.0,0.0,0.0,9939.0
Fiji,64471.0,5.0,834.0,0.0,62626.0,3.0,1011.0,0.0,71015.0,919.0,505477.0,556783.0,907852.0,Australia/Oceania,14.0,1089.0,2.0,6.0,0.0,1114.0
Madagascar,64050.0,0.0,1388.0,0.0,59313.0,0.0,3349.0,22.0,2213.0,48.0,413244.0,14279.0,28940188.0,Africa,452.0,20850.0,70.0,0.0,0.0,116.0
Guyana,63283.0,0.0,1226.0,0.0,61975.0,0.0,82.0,5.0,79780.0,1546.0,572803.0,722126.0,793217.0,South America,13.0,647.0,1.0,0.0,0.0,103.0
Sudan,61987.0,0.0,4907.0,0.0,0.0,0.0,0.0,0.0,1358.0,108.0,562941.0,12333.0,45645995.0,Africa,736.0,9302.0,81.0,0.0,0.0,367.0
Barbados,60592.0,0.0,375.0,0.0,58319.0,0.0,1898.0,0.0,210394.0,1302.0,617920.0,2145608.0,287993.0,North America,5.0,768.0,0.0,0.0,0.0,6590.0
New Caledonia,60356.0,11.0,312.0,0.0,59890.0,6.0,154.0,9.0,207897.0,1075.0,98964.0,340883.0,290317.0,Australia/Oceania,5.0,931.0,3.0,38.0,0.0,530.0
Mauritania,58675.0,0.0,982.0,0.0,57680.0,0.0,13.0,0.0,12063.0,202.0,785991.0,161590.0,4864113.0,Africa,83.0,4953.0,6.0,0.0,0.0,3.0
Belize,57318.0,0.0,656.0,0.0,56456.0,0.0,206.0,6.0,139698.0,1599.0,525140.0,1279896.0,410299.0,North America,7.0,625.0,1.0,0.0,0.0,502.0
Cabo Verde,55961.0,0.0,401.0,0.0,55499.0,0.0,61.0,23.0,98768.0,708.0,400982.0,707711.0,566590.0,Africa,10.0,1413.0,1.0,0.0,0.0,108.0
Syria,55723.0,0.0,3145.0,0.0,51783.0,0.0,795.0,0.0,3054.0,172.0,146269.0,8016.0,18246710.0,Asia,327.0,5802.0,125.0,0.0,0.0,44.0
Gabon,47588.0,0.0,303.0,0.0,47270.0,0.0,15.0,0.0,20531.0,131.0,1589113.0,685583.0,2317900.0,Africa,49.0,7650.0,1.0,0.0,0.0,6.0
Papua New Guinea,43374.0,0.0,643.0,0.0,42597.0,0.0,134.0,7.0,4692.0,70.0,249149.0,26951.0,9244518.0,Australia/Oceania,213.0,14377.0,37.0,0.0,0.0,14.0
Seychelles,40866.0,0.0,164.0,0.0,39963.0,0.0,739.0,0.0,411061.0,1650.0,0.0,0.0,99416.0,Africa,2.0,606.0,0.0,0.0,0.0,7433.0
Curaçao,40671.0,0.0,267.0,0.0,39858.0,0.0,546.0,3.0,246087.0,1616.0,494095.0,2989605.0,165271.0,North America,4.0,619.0,0.0,0.0,0.0,3304.0
Andorra,40024.0,0.0,153.0,0.0,39283.0,0.0,588.0,14.0,516559.0,1975.0,249838.0,3224465.0,77482.0,Europe,2.0,506.0,0.0,0.0,0.0,7589.0
Burundi,38588.0,0.0,38.0,0.0,773.0,0.0,37777.0,0.0,3084.0,3.0,345742.0,27633.0,12512099.0,Africa,324.0,329266.0,36.0,0.0,0.0,3019.0
Togo,36946.0,0.0,272.0,0.0,36612.0,0.0,62.0,0.0,4286.0,32.0,720871.0,83635.0,8619235.0,Africa,233.0,31688.0,12.0,0.0,0.0,7.0
Mayotte,36891.0,0.0,187.0,0.0,2964.0,0.0,33740.0,0.0,129731.0,658.0,176919.0,622152.0,284366.0,Africa,8.0,1521.0,2.0,0.0,0.0,118650.0
Mauritius,36816.0,58.0,985.0,17.0,34514.0,127.0,1317.0,0.0,28865.0,772.0,358675.0,281209.0,1275474.0,Africa,35.0,1295.0,4.0,45.0,13.0,1033.0
Guinea,36459.0,0.0,440.0,0.0,35976.0,0.0,43.0,8.0,2650.0,32.0,660107.0,47980.0,13757835.0,Africa,377.0,31268.0,21.0,0.0,0.0,3.0
Bhutan,35437.0,2291.0,12.0,0.0,28092.0,1138.0,7333.0,4.0,45055.0,15.0,2137515.0,2717663.0,786527.0,Asia,22.0,65544.0,0.0,2913.0,0.0,9323.0
Faeroe Islands,34237.0,0.0,28.0,0.0,7693.0,0.0,26516.0,5.0,696030.0,569.0,778000.0,15816544.0,49189.0,Europe,1.0,1757.0,0.0,0.0,0.0,539064.0
Aruba,34051.0,0.0,212.0,0.0,33752.0,0.0,87.0,3.0,316571.0,1971.0,177885.0,1653790.0,107562.0,North America,3.0,507.0,1.0,0.0,0.0,809.0
Tanzania,33815.0,0.0,800.0,0.0,0.0,0.0,0.0,7.0,539.0,13.0,0.0,0.0,62719432.0,Africa,1855.0,78399.0,0.0,0.0,0.0,523.0
Bahamas,33314.0,0.0,788.0,0.0,32210.0,0.0,316.0,11.0,83318.0,1971.0,226807.0,567242.0,399842.0,North America,12.0,507.0,2.0,0.0,0.0,790.0
Lesotho,32910.0,0.0,697.0,0.0,24155.0,0.0,8058.0,0.0,15151.0,321.0,431221.0,198530.0,2172070.0,Africa,66.0,3116.0,5.0,0.0,0.0,3710.0
Haiti,30567.0,0.0,833.0,0.0,28745.0,0.0,989.0,0.0,2625.0,72.0,132422.0,11370.0,11646592.0,North America,381.0,13982.0,88.0,0.0,0.0,85.0
Mali,30512.0,0.0,728.0,0.0,29650.0,0.0,134.0,0.0,1434.0,34.0,652947.0,30692.0,21274206.0,Africa,697.0,29223.0,33.0,0.0,0.0,6.0
Isle of Man,28416.0,0.0,84.0,0.0,26794.0,0.0,1538.0,0.0,331100.0,979.0,150753.0,1756557.0,85823.0,Europe,3.0,1022.0,1.0,0.0,0.0,17921.0
Benin,26952.0,0.0,163.0,0.0,25506.0,0.0,1283.0,5.0,2125.0,13.0,604310.0,47657.0,12680390.0,Africa,470.0,77794.0,21.0,0.0,0.0,101.0
Somalia,26471.0,0.0,1350.0,0.0,13182.0,0.0,11939.0,0.0,1588.0,81.0,400466.0,24021.0,16671214.0,Africa,630.0,12349.0,42.0,0.0,0.0,716.0
Taiwan,25225.0,359.0,853.0,0.0,20730.0,91.0,3642.0,0.0,1056.0,36.0,13000933.0,544143.0,23892476.0,Asia,947.0,28010.0,2.0,15.0,0.0,152.0
Congo,24079.0,0.0,385.0,0.0,20178.0,0.0,3516.0,0.0,4183.0,67.0,347815.0,60422.0,5756433.0,Africa,239.0,14952.0,17.0,0.0,0.0,611.0
Saint Lucia,22977.0,0.0,365.0,0.0,22589.0,0.0,23.0,1.0,124132.0,1972.0,140625.0,759720.0,185101.0,North America,8.0,507.0,1.0,0.0,0.0,124.0
Timor-Leste,22832.0,0.0,130.0,0.0,22692.0,0.0,10.0,0.0,16757.0,95.0,257486.0,188977.0,1362524.0,Asia,60.0,10481.0,5.0,0.0,0.0,7.0
Burkina Faso,20853.0,0.0,382.0,0.0,20439.0,0.0,32.0,0.0,952.0,17.0,248995.0,11365.0,21908992.0,Africa,1051.0,57353.0,88.0,0.0,0.0,1.0
Cayman Islands,20606.0,0.0,24.0,0.0,8553.0,0.0,12029.0,1.0,307199.0,358.0,222773.0,3321153.0,67077.0,North America,3.0,2795.0,0.0,0.0,0.0,179331.0
Nicaragua,18491.0,0.0,225.0,0.0,4225.0,0.0,14041.0,0.0,2734.0,33.0,0.0,0.0,6762942.0,North America,366.0,30058.0,0.0,0.0,0.0,2076.0
South Sudan,17311.0,0.0,138.0,0.0,13514.0,0.0,3659.0,1.0,1515.0,12.0,364018.0,31864.0,11424156.0,Africa,660.0,82784.0,31.0,0.0,0.0,320.0
Gibraltar,17120.0,0.0,101.0,0.0,16579.0,0.0,440.0,3.0,508419.0,2999.0,534283.0,15866807.0,33673.0,Europe,2.0,333.0,0.0,0.0,0.0,13067.0
Liechtenstein,16624.0,54.0,84.0,0.0,16345.0,0.0,195.0,3.0,433820.0,2192.0,102174.0,2666336.0,38320.0,Europe,2.0,456.0,0.0,1409.0,0.0,5089.0
Equatorial Guinea,15904.0,0.0,183.0,0.0,15696.0,0.0,25.0,5.0,10718.0,123.0,303365.0,204446.0,1483841.0,Africa,93.0,8108.0,5.0,0.0,0.0,17.0
Djibouti,15591.0,0.0,189.0,0.0,15396.0,0.0,6.0,0.0,15388.0,187.0,299332.0,295425.0,1013225.0,Africa,65.0,5361.0,3.0,0.0,0.0,6.0
San Marino,15181.0,0.0,113.0,0.0,14740.0,0.0,328.0,4.0,445766.0,3318.0,144139.0,4232411.0,34056.0,Europe,2.0,301.0,0.0,0.0,0.0,9631.0
CAR,14649.0,0.0,113.0,0.0,6859.0,0.0,7677.0,2.0,2943.0,23.0,81294.0,16333.0,4977178.0,Africa,340.0,44046.0,61.0,0.0,0.0,1542.0
Grenada,14024.0,0.0,218.0,0.0,13748.0,0.0,58.0,4.0,123626.0,1922.0,144147.0,1270701.0,113439.0,North America,8.0,520.0,1.0,0.0,0.0,511.0
Bermuda,12564.0,0.0,128.0,0.0,12198.0,0.0,238.0,0.0,203058.0,2069.0,841380.0,13598280.0,61874.0,North America,5.0,483.0,0.0,0.0,0.0,3847.0
Gambia,11990.0,0.0,365.0,0.0,11591.0,0.0,34.0,0.0,4728.0,144.0,155686.0,61395.0,2535791.0,Africa,211.0,6947.0,16.0,0.0,0.0,13.0
Greenland,11971.0,0.0,21.0,0.0,2761.0,0.0,9189.0,4.0,210228.0,369.0,164926.0,2896335.0,56943.0,North America,5.0,2712.0,0.0,0.0,0.0,161372.0
Dominica,11897.0,0.0,63.0,0.0,11704.0,0.0,130.0,0.0,164550.0,871.0,185213.0,2561729.0,72300.0,North America,6.0,1148.0,0.0,0.0,0.0,1798.0
Solomon Islands,11856.0,0.0,136.0,0.0,9700.0,0.0,2020.0,2.0,16548.0,190.0,5117.0,7142.0,716443.0,Australia/Oceania,60.0,5268.0,140.0,0.0,0.0,2819.0
Yemen,11812.0,0.0,2144.0,0.0,8999.0,0.0,669.0,23.0,381.0,69.0,265253.0,8562.0,30978856.0,Asia,2623.0,14449.0,117.0,0.0,0.0,22.0
Monaco,10943.0,0.0,54.0,0.0,10696.0,0.0,193.0,4.0,275427.0,1359.0,54960.0,1383303.0,39731.0,Europe,4.0,736.0,1.0,0.0,0.0,4858.0
Saint Martin,10107.0,0.0,63.0,0.0,1399.0,0.0,8645.0,7.0,253792.0,1582.0,112382.0,2821967.0,39824.0,North America,4.0,632.0,0.0,0.0,0.0,217080.0
Sint Maarten,9787.0,0.0,86.0,0.0,9627.0,0.0,74.0,10.0,223800.0,1967.0,62056.0,1419039.0,43731.0,North America,4.0,509.0,1.0,0.0,0.0,1692.0
Eritrea,9728.0,0.0,103.0,0.0,9623.0,0.0,2.0,0.0,2678.0,28.0,23693.0,6522.0,3632597.0,Africa,373.0,35268.0,153.0,0.0,0.0,0.6
Caribbean Netherlands,8860.0,0.0,33.0,0.0,8459.0,0.0,368.0,0.0,332445.0,1238.0,30126.0,1130389.0,26651.0,North America,3.0,808.0,1.0,0.0,0.0,13808.0
Niger,8816.0,0.0,308.0,0.0,8487.0,0.0,21.0,1.0,342.0,12.0,242224.0,9409.0,25743531.0,Africa,2920.0,83583.0,106.0,0.0,0.0,0.8
Guinea-Bissau,8151.0,0.0,170.0,0.0,7191.0,0.0,790.0,6.0,3977.0,83.0,129981.0,63417.0,2049629.0,Africa,251.0,12057.0,16.0,0.0,0.0,385.0
Comoros,8093.0,0.0,160.0,0.0,7921.0,0.0,12.0,0.0,8971.0,177.0,0.0,0.0,902113.0,Africa,111.0,5638.0,0.0,0.0,0.0,13.0
Sierra Leone,7675.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,929.0,15.0,259958.0,31465.0,8261710.0,Africa,1076.0,66094.0,32.0,0.0,0.0,331.0
Tonga,7528.0,143.0,9.0,0.0,5541.0,202.0,1978.0,0.0,69834.0,83.0,246893.0,2290330.0,107798.0,Australia/Oceania,14.0,11978.0,0.0,1327.0,0.0,18349.0
Antigua and Barbuda,7493.0,0.0,135.0,0.0,7350.0,0.0,8.0,1.0,75418.0,1359.0,18901.0,190241.0,99353.0,North America,13.0,736.0,5.0,0.0,0.0,81.0
Liberia,7400.0,0.0,294.0,0.0,5747.0,0.0,1359.0,2.0,1405.0,56.0,139824.0,26551.0,5266298.0,Africa,712.0,17913.0,38.0,0.0,0.0,258.0
Chad,7347.0,0.0,192.0,0.0,4874.0,0.0,2281.0,0.0,426.0,11.0,191341.0,11090.0,17252832.0,Africa,2348.0,89859.0,90.0,0.0,0.0,132.0
St. Vincent Grenadines,6747.0,0.0,106.0,0.0,6639.0,0.0,2.0,0.0,60479.0,950.0,98654.0,884321.0,111559.0,North America,17.0,1052.0,1.0,0.0,0.0,18.0
British Virgin Islands,6155.0,0.0,62.0,0.0,0.0,0.0,0.0,1.0,201249.0,2027.0,102012.0,3335470.0,30584.0,North America,5.0,493.0,0.0,0.0,0.0,458.0
Sao Tome and Principe,5948.0,0.0,73.0,0.0,5872.0,0.0,3.0,0.0,26283.0,323.0,29036.0,128306.0,226303.0,Africa,38.0,3100.0,8.0,0.0,0.0,13.0
Turks and Caicos,5923.0,0.0,36.0,0.0,5859.0,0.0,28.0,4.0,149431.0,908.0,447713.0,11295330.0,39637.0,North America,7.0,1101.0,0.0,0.0,0.0,706.0
Saint Kitts and Nevis,5550.0,0.0,43.0,0.0,5506.0,0.0,1.0,0.0,103045.0,798.0,65141.0,1209450.0,53860.0,North America,10.0,1253.0,1.0,0.0,0.0,19.0
Vanuatu,4713.0,189.0,3.0,1.0,2830.0,969.0,1880.0,11.0,14740.0,9.0,24976.0,78113.0,319741.0,Australia/Oceania,68.0,106580.0,13.0,591.0,3.0,5880.0
St. Barth,4150.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,417925.0,604.0,78646.0,7920040.0,9930.0,North America,2.0,1655.0,0.0,0.0,0.0,370796.0
Palau,4070.0,0.0,6.0,0.0,3732.0,0.0,332.0,0.0,223075.0,329.0,41281.0,2262592.0,18245.0,Australia/Oceania,4.0,3041.0,0.0,0.0,0.0,18197.0
Kiribati,3068.0,1.0,13.0,0.0,2593.0,3.0,462.0,9.0,25011.0,106.0,0.0,0.0,122666.0,Australia/Oceania,40.0,9436.0,0.0,8.0,0.0,3766.0
Samoa,2782.0,160.0,2.0,0.0,1039.0,0.0,1741.0,0.0,13859.0,10.0,0.0,0.0,200729.0,Australia/Oceania,72.0,100365.0,0.0,797.0,0.0,8673.0
Anguilla,2717.0,0.0,9.0,0.0,2692.0,0.0,16.0,4.0,178304.0,591.0,51382.0,3371965.0,15238.0,North America,6.0,1693.0,0.0,0.0,0.0,1050.0
Cook Islands,2715.0,189.0,0.0,0.0,1891.0,142.0,824.0,0.0,154332.0,0.0,12829.0,729252.0,17592.0,Australia/Oceania,6.0,0.0,1.0,10744.0,0.0,46839.0
Saint Pierre Miquelon,2000.0,0.0,1.0,0.0,1837.0,0.0,162.0,1.0,348189.0,174.0,17516.0,3049443.0,5744.0,North America,3.0,5744.0,0.0,0.0,0.0,28203.0
Wallis and Futuna,454.0,0.0,7.0,0.0,438.0,0.0,9.0,0.0,41678.0,643.0,20508.0,1882677.0,10893.0,Australia/Oceania,24.0,1556.0,1.0,0.0,0.0,826.0
Falkland Islands,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33625.0,0.0,8632.0,2359759.0,3658.0,South America,30.0,0.0,0.0,0.0,0.0,10388.0
Vatican City,29.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,36025.0,0.0,0.0,0.0,805.0,Europe,28.0,0.0,0.0,0.0,0.0,1242.0
Western Sahara,10.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,16.0,2.0,0.0,0.0,623111.0,Africa,62311.0,623111.0,0.0,0.0,0.0,2.0
Niue,7.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,4255.0,0.0,0.0,0.0,1645.0,Australia/Oceania,235.0,0.0,0.0,0.0,0.0,1216.0
China,158793.0,1415.0,4638.0,0.0,129590.0,1910.0,24565.0,75.0,110.0,3.0,160000000.0,111163.0,1439323776.0,Asia,9064.0,310333.0,9.0,1.0,0.0,17.0
Total:,494305558.0,532912.0,6184531.0,1574.0,430003108.0,560670.0,58117919.0,55354.0,63414.8,793.4,0.0,0.0,0.0,All,0.0,0.0,0.0,0.0,0.0,0.0
